row_num;nmac1;nmac2;nmac3;nmac4;nmac5;nmac6
0;2042;2045;1844;1843;2235;2238
1;2041;2043;1839;1856;2240;2227
2;2044;2044;1849;1851;2231;2240
3;2043;2048;1844;1856;2227;2243
4;2042;2056;1839;1847;2240;2240
5;2040;2044;1849;1851;2235;2227
6;2041;2045;1848;1856;2240;2227
7;2044;2044;1848;1851;2228;2240
8;2041;2040;1848;1856;2227;2231
9;2041;2041;1849;1844;2240;2240
10;2043;2044;1842;1843;2231;2233
11;2041;2043;1843;1856;2240;2227
12;2044;2044;1849;1851;2231;2240
13;2043;2043;1844;1856;2226;2235
14;2044;2024;1845;1855;2240;2240
15;2041;2046;1849;1850;2235;2228
16;2041;2043;1849;1856;2240;2227
17;2044;2044;1849;1859;2225;2240
18;2041;2044;1852;1856;2227;2231
19;2040;2056;1851;1849;2224;2240
20;2040;2044;1852;1872;2223;2225
21;2041;2043;1851;1856;2240;2226
22;2044;2042;1849;1859;2220;2224
23;2041;2042;1855;1888;2224;2227
24;2042;2041;1968;1860;2224;2240
25;2041;2043;1956;1855;2223;2219
26;2044;2044;1965;1864;2240;2226
27;2041;2043;1968;1867;2220;2219
28;2041;2041;1953;1858;2224;2219
29;2043;2045;1968;1864;2216;2240
30;2041;2045;1961;1872;2223;2214
31;2044;2044;1961;1864;2211;2224
32;2041;2043;1968;1871;2205;2216
33;2042;2045;1969;1888;2224;2211
34;2041;2040;1968;1874;2208;2208
35;2041;2045;1963;1875;2195;2203
36;2044;2044;1965;1888;2208;2195
37;2041;2044;1968;1895;2184;2175
38;2041;2041;1961;1892;2171;2183
39;2040;2044;1968;1904;2169;2170
40;2041;2045;1969;1936;2167;2151
41;2044;2044;1976;1919;2148;2160
42;2041;2041;1972;1923;2151;2155
43;2044;2041;1975;1952;2160;2155
44;2041;2044;1970;1933;2144;2146
45;2041;2043;1971;1936;2155;2156
46;2044;2044;1977;1919;2149;2162
47;2043;2044;1973;1939;2149;2147
48;2041;2041;1975;1919;2162;2159
49;2040;2045;1980;1925;2147;2154
50;2041;2043;1978;1938;2155;2146
51;2044;2043;1977;1919;2152;2160
52;2039;2043;1983;1927;2147;2153
53;2041;2041;1979;1952;2160;2151
54;2043;2044;1981;1932;2152;2144
55;2041;2043;1994;1938;2143;2141
56;2040;2044;1981;1944;2144;2112
57;2041;2044;1983;2016;2096;2095
58;2041;2041;1991;1990;2091;2112
59;2041;2044;1985;1982;2095;2093
60;2041;2043;1985;1992;2082;2098
61;2044;2044;1993;1999;2091;2093
62;2041;2048;1983;1984;2098;2099
63;2041;2041;1983;1988;2085;2112
64;2041;2044;2000;2002;2099;2092
65;2041;2043;1987;1985;2112;2096
66;2044;2044;1993;1995;2078;2089
67;2041;2043;1983;2016;2096;2099
68;2041;2041;1989;1987;2096;2112
69;2042;2044;2000;2000;2083;2088
70;2041;2043;1988;1995;2112;2098
71;2044;2044;1981;1987;2097;2093
72;2041;2043;1983;1986;2096;2091
73;2041;2041;1987;1988;2089;2112
74;2042;2044;1981;1983;2103;2096
75;2041;2043;1984;1987;2112;2096
76;2041;2045;1993;1991;2090;2112
77;2043;2043;1980;1984;2098;2099
78;2041;2056;1985;1991;2089;2112
